Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BEP,Chrome 62.0.3202.89,,2017-11-16 11:13:59,2017-11-16 12:28:18,1h - 14m - 18.873s,PASSED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SendEmail_CreateECR,Chrome 62.0.3202.89,,2017-11-16 11:14:00,2017-11-16 11:21:19,7m - 18.530s,PASSED
callTestCase,Chrome 62.0.3202.89,,2017-11-16 11:14:02,2017-11-16 11:18:27,4m - 24.966s,PASSED
Statement - SendEmail = true,Chrome 62.0.3202.89,,2017-11-16 11:18:27,2017-11-16 11:18:27,0.001s,PASSED
Statement - CreateECR = true,Chrome 62.0.3202.89,,2017-11-16 11:18:27,2017-11-16 11:18:27,0.000s,PASSED
callTestCase,Chrome 62.0.3202.89,,2017-11-16 11:18:27,2017-11-16 11:21:19,2m - 51.942s,PASSED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SendEmail_NoECR,Chrome 62.0.3202.89,,2017-11-16 11:21:19,2017-11-16 11:28:41,7m - 22.537s,PASSED
callTestCase,Chrome 62.0.3202.89,,2017-11-16 11:21:19,2017-11-16 11:25:41,4m - 21.342s,PASSED
Statement - SendEmail = true,Chrome 62.0.3202.89,,2017-11-16 11:25:41,2017-11-16 11:25:41,0.001s,PASSED
Statement - CreateECR = false,Chrome 62.0.3202.89,,2017-11-16 11:25:41,2017-11-16 11:25:41,0.000s,PASSED
callTestCase,Chrome 62.0.3202.89,,2017-11-16 11:25:41,2017-11-16 11:28:41,3m - 0.864s,PASSED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SkipEmail_CreateECR,Chrome 62.0.3202.89,,2017-11-16 11:28:41,2017-11-16 11:36:16,7m - 34.728s,PASSED
callTestCase,Chrome 62.0.3202.89,,2017-11-16 11:28:42,2017-11-16 11:33:05,4m - 23.269s,PASSED
Statement - SendEmail = false,Chrome 62.0.3202.89,,2017-11-16 11:33:05,2017-11-16 11:33:05,0.000s,PASSED
Statement - CreateECR = true,Chrome 62.0.3202.89,,2017-11-16 11:33:05,2017-11-16 11:33:05,0.000s,PASSED
