Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BEP,Chrome 61.0.3163.100,,2017-11-06 08:50:55,2017-11-06 09:41:05,50m - 10.136s,FAILED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SendEmail_CreateECR,Chrome 61.0.3163.100,,2017-11-06 08:50:55,2017-11-06 08:56:31,5m - 35.851s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 08:50:56,2017-11-06 08:54:09,3m - 13.535s,PASSED
Statement - SendEmail = true,Chrome 61.0.3163.100,,2017-11-06 08:54:09,2017-11-06 08:54:09,0.000s,PASSED
Statement - CreateECR = true,Chrome 61.0.3163.100,,2017-11-06 08:54:09,2017-11-06 08:54:09,0.000s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 08:54:09,2017-11-06 08:56:31,2m - 21.584s,PASSED
,,,,,,
Test Cases/BEP/TC_Withdraw,Chrome 61.0.3163.100,,2017-11-06 08:56:31,2017-11-06 09:00:19,3m - 48.271s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 08:56:31,2017-11-06 08:59:30,2m - 58.739s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-11-06 08:59:30,2017-11-06 08:59:37,7.163s,PASSED
com.helper.commonfunct.utilities.search,Chrome 61.0.3163.100,,2017-11-06 08:59:37,2017-11-06 08:59:51,13.650s,PASSED
com.helper.commonfunct.BEP_CommonMethod.withdraw,Chrome 61.0.3163.100,,2017-11-06 08:59:51,2017-11-06 09:00:16,25.453s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-06 09:00:16,2017-11-06 09:00:19,3.002s,PASSED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SendEmail_NoECR,Chrome 61.0.3163.100,,2017-11-06 09:00:19,2017-11-06 09:02:12,1m - 52.562s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:00:19,2017-11-06 09:02:12,1m - 52.188s,FAILED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SkipEmail_CreateECR,Chrome 61.0.3163.100,,2017-11-06 09:02:12,2017-11-06 09:04:06,1m - 53.860s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:02:12,2017-11-06 09:04:06,1m - 53.412s,FAILED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SkipEmail_NOECR,Chrome 61.0.3163.100,,2017-11-06 09:04:06,2017-11-06 09:09:49,5m - 43.626s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:04:06,2017-11-06 09:07:19,3m - 13.260s,PASSED
Statement - SendEmail = false,Chrome 61.0.3163.100,,2017-11-06 09:07:19,2017-11-06 09:07:19,0.001s,PASSED
Statement - CreateECR = false,Chrome 61.0.3163.100,,2017-11-06 09:07:19,2017-11-06 09:07:19,0.000s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:07:19,2017-11-06 09:09:49,2m - 30.196s,PASSED
,,,,,,
Test Cases/BEP/TC_CreateBEP_NoroutingToRL,Chrome 61.0.3163.100,,2017-11-06 09:09:49,2017-11-06 09:13:46,3m - 56.182s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:09:50,2017-11-06 09:12:47,2m - 57.834s,PASSED
Statement - RDReject = 1,Chrome 61.0.3163.100,,2017-11-06 09:12:47,2017-11-06 09:12:47,0.001s,NOT_RUN
Statement - RouteToRL = false,Chrome 61.0.3163.100,,2017-11-06 09:12:47,2017-11-06 09:12:47,0.000s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:12:47,2017-11-06 09:13:46,58.146s,PASSED
,,,,,,
Test Cases/BEP/TC_Create_BEP_EmailOutput,Chrome 61.0.3163.100,,2017-11-06 09:13:46,2017-11-06 09:16:55,3m - 9.231s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-11-06 09:13:46,2017-11-06 09:13:53,7.104s,PASSED
com.helper.commonfunct.BEP_CommonMethod.EstimateEmailOutput,Chrome 61.0.3163.100,,2017-11-06 09:13:53,2017-11-06 09:16:55,3m - 1.986s,PASSED
com.helper.commonfunct.BEP_CommonMethod.woid,Chrome 61.0.3163.100,,2017-11-06 09:16:55,2017-11-06 09:16:55,0.036s,PASSED
com.helper.commonfunct.BEP_CommonMethod.WOstatus,Chrome 61.0.3163.100,,2017-11-06 09:16:55,2017-11-06 09:16:55,0.093s,PASSED
,,,,,,
Test Cases/BEP/TC_Create_BEP_NoOutput,Chrome 61.0.3163.100,,2017-11-06 09:16:55,2017-11-06 09:19:50,2m - 55.183s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-11-06 09:16:55,2017-11-06 09:17:02,7.141s,PASSED
com.helper.commonfunct.BEP_CommonMethod.EstimateNoOutput,Chrome 61.0.3163.100,,2017-11-06 09:17:02,2017-11-06 09:19:50,2m - 47.897s,PASSED
com.helper.commonfunct.BEP_CommonMethod.woid,Chrome 61.0.3163.100,,2017-11-06 09:19:50,2017-11-06 09:19:50,0.036s,PASSED
com.helper.commonfunct.BEP_CommonMethod.WOstatus,Chrome 61.0.3163.100,,2017-11-06 09:19:50,2017-11-06 09:19:50,0.099s,PASSED
,,,,,,
Test Cases/BEP/TC_RD_RL_Reject,Chrome 61.0.3163.100,,2017-11-06 09:19:50,2017-11-06 09:24:26,4m - 35.721s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:19:50,2017-11-06 09:22:46,2m - 55.824s,PASSED
com.helper.commonfunct.utilities.setprop,Chrome 61.0.3163.100,,2017-11-06 09:22:46,2017-11-06 09:22:46,0.002s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:22:46,2017-11-06 09:24:26,1m - 39.730s,PASSED
,,,,,,
Test Cases/BEP/TC_RLMeetingRequest_CancelMeeting,Chrome 61.0.3163.100,,2017-11-06 09:24:26,2017-11-06 09:32:25,7m - 59.327s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:24:26,2017-11-06 09:27:23,2m - 56.387s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-11-06 09:27:23,2017-11-06 09:27:30,7.849s,PASSED
com.helper.commonfunct.utilities.search,Chrome 61.0.3163.100,,2017-11-06 09:27:30,2017-11-06 09:27:44,13.635s,PASSED
com.helper.commonfunct.BEP_CommonMethod.RDapprove,Chrome 61.0.3163.100,,2017-11-06 09:27:44,2017-11-06 09:28:10,26.424s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-11-06 09:28:10,2017-11-06 09:28:18,7.150s,PASSED
com.helper.commonfunct.utilities.search,Chrome 61.0.3163.100,,2017-11-06 09:28:18,2017-11-06 09:28:31,13.710s,PASSED
com.helper.commonfunct.BEP_CommonMethod.RLRequestMeeting,Chrome 61.0.3163.100,,2017-11-06 09:28:31,2017-11-06 09:29:03,32.120s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-11-06 09:29:03,2017-11-06 09:29:11,7.253s,PASSED
com.helper.commonfunct.utilities.search,Chrome 61.0.3163.100,,2017-11-06 09:29:11,2017-11-06 09:29:24,13.548s,PASSED
com.helper.commonfunct.BEP_CommonMethod.ScheduleMeeting,Chrome 61.0.3163.100,,2017-11-06 09:29:24,2017-11-06 09:29:43,18.779s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-11-06 09:29:43,2017-11-06 09:29:51,7.578s,PASSED
com.helper.commonfunct.utilities.search,Chrome 61.0.3163.100,,2017-11-06 09:29:51,2017-11-06 09:30:04,13.614s,PASSED
